value,frequency,weight
"'createElement')","1","1119"
"connection.play","1","1119"
"outputs:","1","1119"
"gorm","1","1118"
"counts","1","1118"
"CPI","1","1118"
"apiVersion","2","1118"
"Keys","2","1118"
"Insert","2","1117"
"onbackpress()","1","1117"
"IE11","2","1116"
"composer?","1","1116"
"Webpack,","1","1116"
"modules:","1","1116"
"Symfony\Component\Console\Helper\mb_detect_encoding()","1","1116"
"2.30.0","1","1116"
"Properly","2","1116"
"ngrok","1","1116"
"Colab?","2","1116"
"rectify","1","1116"
"principal""","1","1116"
"(Tailwind","2","1115"
"it""","2","1115"
"intellisense","2","1115"
"'wizard'","1","1114"
"ModelCache.safeGet(androidProjectResult.androidProject::getNdkVersion,","1","1114"
"Block-scoped","1","1114"
"Mouse","2","1114"
"idk","1","1114"
""""")","1","1114"
"declaration.ts(2448)","1","1114"
"jdk11","1","1113"
"(react-number-format)?","1","1113"
"vector?","1","1113"
"(Please","2","1113"
"ngBootstrap","1","1113"
"'Properties'","1","1113"
"unbound","2","1113"
"setApprovalForAll","1","1113"
"called?","1","1113"
"prototype","2","1113"
"builder,","1","1112"
"SlashCommandChannelOption","1","1112"
"""type_error:SafeUrl""","1","1111"
"dynamic>>'","1","1111"
"String>>","1","1111"
"variable's","1","1110"
"yarn?","1","1110"
"injectFirst","1","1110"
"refetch","2","1110"
"underneath","2","1110"
"NPX","1","1110"
"specificity","1","1110"
"MessageActionRow","1","1110"
"""tags"":","1","1110"
"v5.0.0","1","1110"
"authorized_keys","1","1109"
"Attributes","2","1109"
"swiper","2","1109"
"FBSDK","1","1108"
"Streaming","2","1108"
"'FBSDKCoreKitImport.h'","1","1108"
"'missing_ok'""","1","1107"
"db.collection","2","1107"
"unlink()","1","1107"
"'User.user_permissions'","2","1106"
"vulnerabilities?","1","1106"
"params?","1","1106"
"Vuejs3,","1","1105"
"stat","1","1105"
"hinder","1","1105"
"url_launcher?","1","1105"
"'predict'","1","1105"
"android:exported=""true""","1","1104"
"`yarn","2","1104"
"TS2305:","2","1104"
"me,","1","1104"
"Thumb","1","1104"
"updates/changes","1","1104"
"Doctrine:","1","1103"
"Rspec","2","1103"
"[next-auth][error][client_fetch_error]","1","1103"
"Java16","1","1103"
"workflow:","1","1103"
"SQLite3","1","1103"
"radio","2","1103"
"written,","1","1103"
"registerForActivityResult","2","1103"
"$id","1","1103"
"class""","2","1103"
"Credential-Provider","1","1103"
"document.querySelector","1","1103"
"Sidekiq","2","1103"
"Styled","2","1103"
"java.lang.reflect.InaccessibleObjectException","1","1103"
"Dashboards","2","1102"
"combo","1","1102"
"'webSecurityConfig'","1","1102"
"react-native?","2","1102"
"variable.","1","1102"
"Web3js","1","1102"
"UBUNTU:","1","1102"
"'eager:true'","1","1102"
"SCRAM","1","1102"
"Spy","1","1102"
"'version'?","1","1102"
"WLS2","1","1102"
"PYTHON","1","1102"
"psycopg2","1","1102"
"""python"",","1","1102"
"proto","1","1102"
"'AppComponent'","1","1101"
"TS2345","1","1101"
"minutes.","1","1101"
"test""","1","1101"
"Swiper.js","2","1101"
"executables","1","1101"
"stimulus","1","1101"
"Busybox","1","1101"
"date-fns:","1","1100"
"‘master’","1","1100"
"__swift_FORCE_LOAD_$_XCTestSwiftSupport","1","1100"
"Runc","1","1100"
"YYYY-MM-DDThh:mm:ss:dddddd","1","1100"
"‘Jenkins’","1","1100"
"401-","1","1100"
"(it","1","1100"
"13.1:","1","1100"
"occurred,","1","1100"
"2.307+","1","1100"
"moved","2","1100"
"swiftui?","2","1100"
"Authorized"")","1","1100"
"Udemy-dl","1","1099"
"'()'","1","1099"
"Renewing","1","1099"
"k8s,","1","1099"
"Yaml","2","1099"
"Head","2","1098"
"seeder","1","1098"
"CommonJS`","1","1098"
"swiperjs","1","1098"
"store?","1","1098"
"`maven`","1","1097"
"Kalman","1","1097"
"opensea?","1","1097"
"UDP","2","1097"
"somehow","1","1097"
"7.","1","1097"
"`maven-publish`","1","1097"
"look","2","1097"
"permanent","1","1097"
"Policy.""","1","1096"
"GOOGLE","2","1096"
"""Refused","1","1096"
"PrimeVue","2","1096"
"welcome","2","1096"
"Managing","1","1096"
"_____","1","1096"
"wifi","2","1096"
"connect-src","1","1096"
"NCCL","1","1096"
"./src/route/AppRoute.js","1","1095"
"'type')","2","1095"
"problems:X","1","1095"
"error=86,","1","1095"
"C++23","2","1095"
"QT","2","1095"
"12:37-43","1","1095"
"StringIO","1","1094"
"perfect","2","1094"
"2352","1","1094"
"superclass","1","1094"
"Ubuntu:","2","1094"
"(php8.0-apache)?","1","1094"
"""TBA""","1","1094"
"my_smart_contract","1","1094"
"(1,28,28)","1","1094"
"setDoc()","1","1094"
"(TypeError)","1","1094"
"apk:","1","1093"
"vroom","1","1093"
"csv.gz","1","1093"
"Partially","1","1093"
"'Namespace'","1","1093"
"dependency'","1","1093"
"declarable","1","1092"
"PurePath","1","1092"
"quotient","1","1092"
"(DIVMOD)","1","1092"
"dispatched","2","1092"
"rust?","1","1092"
"Amount","1","1091"
"KeyVault","1","1091"
"'taming'","1","1091"
"Varied","1","1091"
"WorkManager","2","1091"
"tradingview's","1","1091"
"become","2","1091"
"thanks","1","1090"
"'./public/extractFiles'","1","1090"
"layout,","1","1090"
"siblings","1","1090"
"(python)","2","1090"
"shelling","1","1090"
"hibernate","2","1089"
"nulls","1","1089"
"interface_","1","1089"
"undefined>'","1","1089"
"'Condition<ObjectId","1","1089"
"'spring-boot-starter-oauth2-resource-server'","1","1089"
"error(Cannot","1","1089"
"ressource","1","1089"
"JwtDecoder","1","1089"
"ObjectId","1","1089"
"casting","1","1089"
"_user.default)","1","1089"
"bicep","2","1088"
"""ERR_BLOCKED_BY_CLIENT""","1","1088"
"turned","1","1088"
"kafka:","1","1088"
"ad-blockers","1","1088"
"1001","1","1088"
"established.","1","1088"
"We're","1","1088"
"7.8","1","1088"
"maps.googleapis.com)","1","1088"
"(sentry.io,","1","1088"
"Markdown/Gitlab","1","1088"
"uBlock","1","1088"
"off.","1","1088"
"AlertDialog","1","1088"
"pre-login","1","1088"
"'empty'","1","1087"
"requests.exceptions.SSLError:","2","1087"
"calico-node","1","1087"
"sequenced","1","1087"
"calico-kube-controllers","1","1087"
"'endif',","1","1087"
"Purpose","1","1087"
"fade-ins)","1","1087"
"Enzyme","2","1087"
"verification?","1","1087"
"(CrashLoopBackOff)","1","1087"
"Interpreter","1","1087"
"'endfor'.","1","1087"
"animations","1","1087"
"'content'","1","1087"
"changelog","1","1086"
"'Migration","1","1086"
"builds.""","1","1086"
"File:","1","1086"
"'cache')","1","1086"
"""Angular","1","1086"
"log4j?","1","1086"
"Xampp","1","1086"
"Identities","1","1085"
"templates)","1","1085"
"Mapper","2","1085"
"api)","1","1085"
"(ARM","1","1085"
"Making","2","1085"
"Side","2","1085"
"Traversal","2","1085"
"Token??","1","1085"
"""org.springframework.cloud.netflix.eureka.CloudEurekaClient.getApplications()""","1","1084"
"Encoding","2","1084"
"Markdown","2","1084"
"2764800","1","1084"
"Reaction","1","1084"
"work)","2","1084"
"(1,1,1)","1","1084"
"Configuration.module.rules[2].loader","1","1084"
"LP","1","1084"
"object(Webpack).","1","1084"
".npmrc","2","1084"
"IHostedService","2","1084"
"account'","1","1084"
"Blockchain","1","1084"
"@parcel/transformer-image""?","1","1083"
"f-string?","1","1083"
"althoug","1","1083"
"Kotlin's","1","1083"
"try..finally?","1","1083"
"runCatching..also","1","1083"
"(/@fortawesome%2fpro-regular-svg-icons","1","1083"
"axes","2","1083"
"Messages","2","1082"
"graphQL","1","1081"
"Sierra","1","1081"
"schema'?","1","1081"
"lldELF""","1","1081"
"bytes3","1","1081"
"High","1","1081"
"req.headers.authorization","1","1081"
"10.13.6?","1","1081"
"Homerew","1","1081"
"introspect","1","1081"
"http://docker:2375/v1.24/auth","1","1081"
"""debug.javascript.usePreview""","1","1081"
"llvm@13","1","1081"
"Cypress?","2","1081"
"""Built","1","1081"
"DynamoDB:","1","1081"
"C++20,","1","1081"
"bugged","1","1080"
"geolocation","2","1080"
"PyQt6-tools","1","1080"
"14.7.1","1","1080"
"TextField's","1","1080"
"items?","2","1080"
"xlsx","2","1080"
"utilizing","1","1079"
"2.6.0,","1","1079"
"Indexing","2","1079"
"vars","1","1079"
"Rewrite","1","1079"
"kustomize?","1","1079"
"version=10.2","1","1079"
"setState()","1","1078"
"'call')","1","1078"
"AH00957","1","1078"
"ssr","1","1078"
"Multipolygon","1","1078"
"dispose()","1","1078"
"[{""disallowRedundantWrapping"":true}]","1","1077"
"Optimizer","1","1077"
"etc.","2","1077"
"pixel","1","1076"
"extraction","1","1076"
"magnifying","1","1076"
"AS","1","1076"
"SYSDBA""","1","1076"
"NFT:","1","1076"
"Rcpp","1","1076"
"""/","1","1076"
"Textfield","2","1076"
"accounts.views.login","1","1076"
"On-Chain","1","1076"
"pinning","1","1076"
"logql","1","1076"
"ActiveMQ","2","1076"
"regexp","1","1076"
"link?","1","1076"
"glass","1","1076"
"(Big","1","1076"
"Artemis","2","1076"
"gateway.pinata.cloud/ipfs","1","1076"
"pinata","1","1076"
"Breeze","1","1075"
"unreachable?","1","1075"
"simply","1","1075"
"by.name","1","1075"
"vunerability","1","1075"
"logstash-logback-encoder","1","1075"
"ethers.js?","1","1074"
"'any[]'","1","1074"
"'getBoundingClientRect')","1","1074"
"Boot,","2","1074"
"front-end","1","1074"
"Cli","2","1073"
"Node.js/redis","1","1073"
"Hi,","1","1073"
"127.0.0.1:6739","1","1073"
"quality","2","1073"
"oncomplete]","1","1073"
"[as","1","1073"
"Exported","2","1073"
"roles?","2","1073"
"google.oauth2.Credentials","1","1073"
"TCPConnectWrap.afterConnect","1","1073"
"[internal]","1","1073"
"react-scripts","2","1073"
"Most","2","1073"
"Retrieving","1","1072"
"'postcss'","1","1072"
"(multi","1","1072"
"Orders","1","1072"
"install-less","1","1072"
"numpy.AxisError:","1","1072"
"Rail","1","1072"
"Tenant)","1","1071"
"snowflake.connector.errors.OperationalError:","1","1071"
"pg_hba.conf","1","1071"
"find_element()","1","1071"
"at,","1","1071"
"BaseException""","1","1071"
"TMC","1","1071"
"w3c","1","1071"
"teams","1","1071"
"(Multi","1","1071"
"28000:","1","1071"
"beans:","1","1071"
"iam","1","1071"
"posting","2","1071"
"subquery?","1","1071"
"""XXX.xx.xx.192""","1","1071"
"Apache2","1","1071"
"250003:","1","1071"
"value)","1","1070"
"1.2.3","1","1070"
"cy.intercept()","1","1070"
"`.rowNamesDF<-`(x,","1","1070"
"getGEO(filename='')","1","1070"
"'row.names'","1","1070"
"read_excel","1","1070"
"*swiper/vue","1","1069"
"window.location.reload","1","1069"
"testing?","1","1069"
"beginner","1","1069"
"cv2","2","1069"
"Collapse","1","1069"
"EMAs","1","1069"
"JpaRepository","2","1069"
"(AccessDenied)","1","1069"
"GetObjectTagging","1","1069"
"if/else","1","1069"
"array<struct<","1","1069"
"timeframes","1","1069"
"Q's","1","1069"
"#2006","1","1069"
"away","1","1069"
"completes","1","1069"
"""Magento\Backend\App\Request\PathInfoProcessor\Proxy""","1","1068"
"<Route","2","1068"
"text:","1","1068"
"joinVoiceChannel()","1","1068"
"std::size()","1","1067"
"Struggle","1","1067"
"predictions?","1","1067"
"'delete')","1","1067"
"dn-attributes-failure","1","1067"
"define,","1","1067"
"objectID","1","1067"
"V2.0","1","1067"
"java.lang.IndexOutOfBoundsException:","1","1067"
"unix","2","1067"
"Algolia?","1","1067"
"coroutine","2","1066"
"exploit?","1","1066"
"corepack:","1","1066"
"Goodbye","1","1065"
"mkstemp:","1","1065"
"spec""","1","1065"
"react-hooks-testing-library","1","1065"
"channel/contact","1","1065"
"(Pancakeswap)","1","1065"
"tradingbot","1","1065"
"221","1","1065"
"sendmail:","1","1065"
"'plyer'","1","1065"
"""must","1","1065"
"too.","1","1065"
"Liquidity","1","1063"
"android.support.v4.content","1","1063"
"curl_url_cleanup","1","1063"
"1440x720","1","1062"
"table,","1","1062"
"«,»","1","1062"
"evaluateJavaScript","1","1062"
"DF","1","1062"
"datetime?","1","1062"
"HashMap","2","1062"
"«:»,","1","1062"
"@solana/web3.js?","1","1062"
"Axes","1","1062"
"model.predict?","1","1062"
"Delphi","2","1061"
"present)","1","1061"
"'Multiple","1","1061"
"AIRFLOW_UID","1","1061"
"universal","1","1061"
"airflow-init_1","1","1061"
"'window')","1","1061"
"'/':","1","1061"
"GlobalKey'","1","1061"
"Shell:","1","1061"
"Widgets","1","1061"
"""microsoft","1","1060"
"estimator","1","1060"
"fail?","1","1060"
"runtime""","1","1060"
"""AndroidCheckBox""","1","1060"
"MUI-Datatables","1","1060"
"webview2","1","1060"
"127.0.0.1:37541`","1","1060"
"SDK43","1","1060"
"typecheck","1","1060"
"`cannot","1","1060"
"English","1","1060"
"formed","1","1060"
"straight","1","1060"
"'java'","1","1060"
"request.","1","1059"
"Testcontainers","2","1059"
"pagination,","1","1059"
"procedures","1","1059"
"ADO.NET","1","1059"
"Feign","1","1059"
"sorting,","1","1059"
"PropType","1","1059"
"type""?","1","1059"
"RISC-V?","1","1058"
"at?","1","1058"
"uvicorn[standard]","1","1058"
"CoreUI","2","1058"
"indeterminate?","1","1058"
"11001]","1","1057"
"gulp-sass","1","1057"
"failed'","1","1057"
"Ariflow","1","1056"
"weak","1","1056"
"javadoc","1","1056"
"(_ssl.c:1131)","1","1056"
"Tool","1","1056"
"EE","1","1056"
"model.cuda()","1","1055"
"fetchPolicy","1","1055"
"'[DEFAULT]'","1","1055"
"""standby""","1","1055"
"(app/duplicate-app)","1","1055"
"client.watchQuery","1","1055"
"Raw","1","1054"
"vue-i18n","1","1054"
"Java""","1","1054"
"'passthrough'","1","1054"
"'.prisma/client'","1","1054"
"""org/eclipse/jgit/storage/file/FileRepositoryBuilder","1","1054"
"Frame","2","1054"
"(get","1","1054"
"Electron-Prisma","1","1054"
"columns)","1","1054"
"outdated","1","1053"
"HX711","1","1053"
"songs","1","1053"
"Cell","1","1053"
"Interfacing","1","1053"
"spotify","1","1053"
"'@date-io/date-fns'","1","1052"
"annotations,","1","1052"
"componentscans","1","1052"
"'Controller'","1","1052"
"(emit","1","1052"
"(MUI","1","1051"
"Upgraded","1","1051"
"Project""","1","1051"
"theme.palette[ownerState.color]","1","1051"
"TO","2","1051"
"gitlab-ci","2","1051"
"postgreSQL","1","1051"
"Componants","1","1051"
"Causing","1","1050"
"[401]","1","1050"
"[DioErrorType.response]:","1","1050"
"issueing","1","1050"
"'swiper/types'","1","1050"
"Loop","1","1050"
"unresolved","2","1050"
"onSortModelChange","1","1050"
"webhook","2","1050"
"DioError","1","1050"
"ADFS","2","1050"
"SHAP","2","1050"
"XGBoost","2","1050"
"`open`","1","1049"
"Projection.SphericalMercator.js:19","1","1049"
"'lat')","1","1049"
"doens't","1","1049"
"4.0.0","1","1049"
"people/roles","1","1048"
"Tether","1","1048"
"scattermapbox","1","1048"
"PHP?","1","1048"
"(TRC20)","1","1048"
"Embed?","1","1048"
"ReflectionParameter::getClass()","1","1048"
"graphs","1","1048"
"Addresses","1","1048"
"SignalR","2","1048"
"GiB","1","1047"
"waffle","1","1047"
"Pyright","1","1047"
"(108,","1","1047"
"assertions","1","1047"
"Solidity:","1","1047"
"onSubmit","1","1047"
"denied?","1","1047"
"MemoryError:","1","1047"
"2260668)","1","1047"
"1.82","1","1047"
"chai","1","1047"
"Heroku/PointDNS?","1","1046"
"'ethereum')","1","1046"
"H31","1","1046"
"gap","1","1046"
"non-linear","1","1046"
"{class}","1","1046"
"flexbox,","1","1046"
"flow.""","1","1046"
"d3","1","1046"
"/user/local/go","1","1045"
"java.security.AccessControlException:","1","1045"
"Minishift","1","1045"
"Cancelling","1","1045"
"ibm_db","1","1045"
"MongooseError(message);","1","1045"
"crashed/Terminated","1","1045"
"'api',","1","1044"
"jquery","1","1044"
"air","1","1044"
"(pico-v3-02)","1","1044"
"Intersection","1","1044"
"pins","1","1044"
"SPI","1","1044"
"set.","1","1044"
"textbox","1","1044"
"Requested","2","1044"
"Union's","1","1043"
"circuit","1","1043"
"Exposing","1","1043"
"resilience4j","1","1043"
"problems:","1","1043"
"breaker","1","1043"
"{'value':","1","1043"
"ruamel.yaml.representer.RepresenterError:","1","1043"
"aws-cdk","2","1043"
"object:","1","1043"
"BottomBar","1","1043"
"esLint","1","1043"
"13:37-43","1","1043"
"configs","1","1043"
"./src/App.js","1","1043"
"Wso2","1","1042"
"`any`","2","1042"
"fluent-plugin-elasticsearch","1","1042"
"Fluentd","1","1042"
"Unsafe","2","1042"
"Poetry:","1","1042"
"1.8.0","1","1042"
"Zabbix","1","1041"
"(preview","1","1041"
"SnowFlake","1","1041"
"""native","1","1041"
"Sstudio","1","1041"
"magic","1","1041"
"ICMP","1","1041"
"'cypress'.ts","1","1041"
"practical","1","1041"
"2022)?","1","1041"
"PING","1","1041"
"usememo","1","1041"
"flatlist","1","1041"
"'createToken'","1","1040"
"Provide","1","1040"
"intelephense(1013)","1","1040"
"complexity","2","1040"
"Motion:","2","1040"
"MapStruct","1","1040"
"OEmbed","1","1040"
"Arm64)","1","1040"
"Nokogiri","1","1040"
"OAuthException","1","1040"
"sysdba","1","1039"
"logon","1","1039"
"username/password;","1","1039"
"ORA-01017:","1","1039"
"sys","1","1039"
"MEX","1","1039"
"Room:","1","1039"
"SparkContext:","1","1039"
"address”","1","1038"
"setString","1","1038"
"organizes","1","1038"
"puppeter","1","1038"
"uploads","2","1038"
"bus:","1","1038"
"""=","1","1038"
"Compose)","1","1038"
"“Failed","1","1038"
"'attributes')","1","1038"
"(Kotlin,","1","1038"
"reference?","2","1038"
"keyword""","1","1037"
"MonoBehaviour","1","1037"
"battle’s","1","1037"
"v6.1.0","1","1037"
"Flow:","1","1037"
"503?","1","1037"
"infinity","1","1037"
"JUnit4?","1","1037"
"15+","1","1037"
"locking","2","1037"
"ReactComponent","1","1036"
"'bootstrap'","1","1036"
"java.lang.ClassCastException","1","1036"
"Extracting","2","1036"
"loaderl;","1","1036"
"(expo)","1","1036"
"environment""","1","1036"
"java.xml","1","1036"
"ejected","1","1035"
"capacitor","1","1035"
"@typescript-eslint/member-ordering","1","1035"
"'ReferenceError:","1","1035"
"react-app-rewired","1","1035"
"Kubernetes?","2","1035"
"EFS","1","1034"
"!==","1","1034"
"error(errorMessage);","1","1034"
"Streamlit:","2","1034"
"(typeof","1","1034"
"chmod","2","1034"
"EC2?","1","1034"
"Hostname","1","1034"
"module.","2","1034"
"PayPal?","1","1034"
"string.","1","1034"
"'string')","1","1034"
"audience","1","1033"
"IP's","1","1033"
"(binary)","1","1033"
"click?","1","1033"
"fail2ban","1","1033"
"once,","1","1032"
"Separator","1","1032"
"OOP","2","1032"
"Unstable","1","1032"
"permutation","1","1032"
"'onChange'","1","1032"
